"eventId","id","name","order"
54782,1,"Division 1",1
55165,1,"Division 1",1
54455,1,"Division 1",1
55073,1,"Division 1",1
55337,1,"Division 1",1
51612,1,"Division 1",1
52173,1,"Division 1",1
52710,1,"Division 1",1
52729,1,"Division 1",1
52731,1,"Division 1",1
52749,1,"Division 1",1
52824,1,"Division 1",1
53196,1,"Elementary State Championship",1
53251,1,"Robotics Division",1
53315,1,"Division 1",1
53542,1,"Division 1",1
53957,1,"Division 1",1
53958,1,"Division 1",1
53977,1,"Division 1",1
54170,1,"Division 1",1
54173,1,"Division 1",1
54197,1,"Middle",1
54205,1,"Elementary",1
54222,1,"Division 1",1
54223,1,"Division 1",1
54360,1,"Division 1",1
54386,1,"Division 1",1
54387,1,"Division 1",1
54418,1,"Division 1",1
54502,1,"Division 1",1
54509,1,"Division 1",1
54599,1,"Division 1",1
54642,1,"Default Division",1
54643,1,"Default Division",1
54648,1,"Division 1",1
54705,1,"Division 1",1
54733,1,"Division 1",1
54798,1,"Division 1",1
54830,1,"Division 1",1
54831,1,"Division 1",1
54842,1,"Division 1",1
54862,1,"Division 1",1
54930,1,"Division 1",1
55085,1,"Default",1
55088,1,"Division 1",1
55106,1,"Division 1",1
54861,1,"Division 1",1
55127,1,"Division 1",1
55128,1,"Division 1",1
52552,1,"Division 1",1
53140,1,"Division 1",1
53268,1,"Division 1",1
53416,1,"Division 1",1
54465,1,"Division 1",1
54466,1,"Division 1",1
54618,1,"Division 1",1
55266,1,"Default",1
51600,1,"Division 1",1
51601,1,"MN VEX IQ ES Championship",1
51809,1,"Division 1",1
52553,1,"Division 1",1
52689,1,"Division 1",1
52712,1,"Default Division",1
52826,1,"Division 1",1
52853,1,"Division 1",1
53010,1,"Division 1",1
53269,1,"Division 1",1
53313,1,"Division 1",1
53314,1,"Division 1",1
53417,1,"Division 1",1
53434,1,"Division 1",1
53766,1,"Division 1",1
53892,1,"Elementary",1
53893,1,"Middle",1
54087,1,"Division 1",1
54088,1,"Division 1",1
54106,1,"Division 1",1
54108,1,"Division 1",1
54252,1,"Division 1",1
54253,1,"Division 1",1
54271,1,"Division 1",1
54458,1,"Default Division",1
54621,1,"Division 1",1
54647,1,"Division 1",1
54672,1,"Division 1",1
54689,1,"Division 1",1
54962,1,"Division 1",1
54985,1,"Division 1",1
54987,1,"Division 1",1
54993,1,"Division 1",1
54994,1,"Division 1",1
55006,1,"Division 1",1
55241,1,"Division 1",1
55242,1,"Division 1",1
55270,1,"Division 1",1
55363,1,"Division 1",1
52714,1,"Default Division",1
52825,1,"Division 1",1
53802,1,"Division 1",1
53833,1,"Division 1",1
55030,1,"Division 1",1
55329,1,"Division 1",1
55419,1,"Division 1",1
54486,1,"Division 1",1
54487,1,"Division 1",1
54572,1,"Middle School",1
52486,1,"Division 1",1
52666,1,"Division 1",1
54571,1,"Elementary",1
52481,1,"Division 1",1
52690,1,"Country",1
52690,2,"Rock 'n' Roll",2
52690,100,"Finals",100
52881,1,"Division 1",1
52950,1,"Division 1",1
53012,1,"Division 1",1
53623,1,"Division 1",1
53624,1,"Division 1",1
54333,1,"Division 1",1
54600,1,"Division 1",1
54717,1,"Division 1",1
54723,1,"Division 1",1
54781,1,"Division 1",1
54850,1,"Division 1",1
54854,1,"Division 1",1
54878,1,"Division 1",1
55031,1,"Division 1",1
55138,1,"Division 1",1
55439,1,"Default",1
54834,1,"Division 1",1
54837,1,"Division 1",1
